Year,Semester,Link
2002,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1028/seating_availability.html?subject=ANES
2003,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1034/seating_availability.html?subject=ANES
2003,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1036/seating_availability.html?subject=ANES
2003,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1038/seating_availability.html?subject=ANES
2004,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1044/seating_availability.html?subject=ANES
2004,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1046/seating_availability.html?subject=ANES
2004,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1048/seating_availability.html?subject=ANES
2005,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1054/seating_availability.html?subject=ANES
2005,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1056/seating_availability.html?subject=ANES
2005,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1058/seating_availability.html?subject=ANES
2006,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1064/seating_availability.html?subject=ANES
2006,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1066/seating_availability.html?subject=ANES
2006,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1068/seating_availability.html?subject=ANES
2007,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1074/seating_availability.html?subject=ANES
2007,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1076/seating_availability.html?subject=ANES
2007,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1078/seating_availability.html?subject=ANES
2008,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1084/seating_availability.html?subject=ANES
2008,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1086/seating_availability.html?subject=ANES
2008,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1088/seating_availability.html?subject=ANES
2009,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1094/seating_availability.html?subject=ANES
2009,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1096/seating_availability.html?subject=ANES
2009,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1098/seating_availability.html?subject=ANES
2010,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1104/seating_availability.html?subject=ANES
2010,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1106/seating_availability.html?subject=ANES
2010,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1108/seating_availability.html?subject=ANES
2011,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1114/seating_availability.html?subject=ANES
